customer_id,name,city,signup_date,email
CUST-0001,Ananya Sharma,Bengaluru,2025-10-09,ananya.sharma1@mailbox.com
CUST-0002,Ananya Bhatt,Delhi,2025-03-31,ananya.bhatt2@mailbox.com
CUST-0003,Aarav Gupta,Chandigarh,2025-08-12,aarav.gupta3@mailbox.com
CUST-0004,Aarav Bhatt,Jaipur,2025-07-23,aarav.bhatt4@mailbox.com
CUST-0005,Siddharth Reddy,Delhi,2026-04-05,siddharth.reddy5@mailbox.com
CUST-0006,Sneha Sinha,Pune,2025-12-15,sneha.sinha6@mailbox.com
CUST-0007,Aditi Malhotra,Chennai,2025-04-05,aditi.malhotra7@mailbox.com
CUST-0008,Rahul Desai,Ahmedabad,2025-09-28,rahul.desai8@mailbox.com
CUST-0009,Nikhil Malhotra,Hyderabad,2026-01-23,nikhil.malhotra9@mailbox.com
CUST-0010,Amit Rao,Delhi,2025-07-16,amit.rao10@mailbox.com
CUST-0011,Isha Bose,Mumbai,2025-03-23,isha.bose11@mailbox.com
CUST-0012,Neha Kapoor,Chennai,2026-04-10,neha.kapoor12@mailbox.com
CUST-0013,Sneha Rao,Hyderabad,2025-12-30,sneha.rao13@mailbox.com
CUST-0014,Rohan Desai,Pune,2025-06-25,rohan.desai14@mailbox.com
CUST-0015,Sneha Menon,Jaipur,2026-01-24,sneha.menon15@mailbox.com
CUST-0016,Isha Mehta,Delhi,2025-02-27,isha.mehta16@mailbox.com
CUST-0017,Aditi Joshi,Chandigarh,2025-10-02,aditi.joshi17@mailbox.com
CUST-0018,Aditi Chopra,Ahmedabad,2026-05-27,aditi.chopra18@mailbox.com
CUST-0019,Vikram Kapoor,Jaipur,2025-05-23,vikram.kapoor19@mailbox.com
CUST-0020,Nikhil Kapoor,Kolkata,2026-03-15,nikhil.kapoor20@mailbox.com
CUST-0021,Rahul Reddy,Mumbai,2025-05-22,rahul.reddy21@mailbox.com
CUST-0022,Priya Malhotra,Kolkata,2025-06-06,priya.malhotra22@mailbox.com
CUST-0023,Amit Gupta,Ahmedabad,2026-01-30,amit.gupta23@mailbox.com
CUST-0024,Divya Kapoor,Mumbai,2025-01-12,divya.kapoor24@mailbox.com
CUST-0025,Nikhil Kapoor,Kolkata,2025-12-15,nikhil.kapoor25@mailbox.com
CUST-0026,Sneha Menon,Hyderabad,2025-01-04,sneha.menon26@mailbox.com
CUST-0027,Divya Iyer,Hyderabad,2026-06-04,divya.iyer27@mailbox.com
CUST-0028,Divya Desai,Bengaluru,2025-07-23,divya.desai28@mailbox.com
CUST-0029,Nikhil Agarwal,Ahmedabad,2025-01-01,nikhil.agarwal29@mailbox.com
CUST-0030,Aarav Malhotra,Hyderabad,2026-01-07,aarav.malhotra30@mailbox.com
CUST-0031,Isha Verma,Mumbai,2025-09-04,isha.verma31@mailbox.com
CUST-0032,Rohan Pillai,Jaipur,2025-03-12,rohan.pillai32@mailbox.com
CUST-0033,Vikram Nair,Bengaluru,2026-05-02,vikram.nair33@mailbox.com
CUST-0034,Arjun Agarwal,Jaipur,2026-03-10,arjun.agarwal34@mailbox.com
CUST-0035,Karan Bose,Chennai,2026-02-13,karan.bose35@mailbox.com
CUST-0036,Pooja Agarwal,Pune,2026-04-08,pooja.agarwal36@mailbox.com
CUST-0037,Rohan Mehta,Pune,2025-01-22,rohan.mehta37@mailbox.com
CUST-0038,Riya Reddy,Delhi,2025-01-08,riya.reddy38@mailbox.com
CUST-0039,Isha Gupta,Mumbai,2025-02-02,isha.gupta39@mailbox.com
CUST-0040,Divya Reddy,Pune,2025-10-13,divya.reddy40@mailbox.com
CUST-0041,Nikhil Nair,Ahmedabad,2026-04-30,nikhil.nair41@mailbox.com
CUST-0042,Siddharth Chopra,Kolkata,2025-04-07,siddharth.chopra42@mailbox.com
CUST-0043,Rahul Sinha,Delhi,2026-02-25,rahul.sinha43@mailbox.com
CUST-0044,Ananya Verma,Mumbai,2026-02-17,ananya.verma44@mailbox.com
CUST-0045,Isha Chopra,Bengaluru,2025-07-14,isha.chopra45@mailbox.com
CUST-0046,Siddharth Iyer,Mumbai,2025-10-13,siddharth.iyer46@mailbox.com
CUST-0047,Pooja Bhatt,Jaipur,2025-04-11,
CUST-0048,Aarav Gupta,Ahmedabad,2025-08-31,aarav.gupta48@mailbox.com
CUST-0049,Varun Chopra,Bengaluru,2026-02-15,varun.chopra49@mailbox.com
CUST-0050,Neha Sharma,Ahmedabad,2026-02-04,neha.sharma50@mailbox.com
CUST-0051,Meera Sinha,Hyderabad,2026-05-14,meera.sinha51@mailbox.com
CUST-0052,Karan Verma,Delhi,2025-03-04,karan.verma52@mailbox.com
CUST-0053,Priya Kulkarni,Jaipur,2026-05-04,priya.kulkarni53@mailbox.com
CUST-0054,Sneha Verma,Bengaluru,2026-06-05,sneha.verma54@mailbox.com
CUST-0055,Rohan Desai,Pune,2025-03-11,rohan.desai55@mailbox.com
CUST-0056,Neha Malhotra,Delhi,2025-09-10,neha.malhotra56@mailbox.com
CUST-0057,Amit Gupta,Chandigarh,2026-03-06,amit.gupta57@mailbox.com
CUST-0058,Divya Mehta,Chennai,2025-09-25,divya.mehta58@mailbox.com
CUST-0059,Isha Kapoor,Hyderabad,2026-02-10,isha.kapoor59@mailbox.com
CUST-0060,Pooja Mehta,Chandigarh,2025-03-16,
CUST-0061,Riya Malhotra,Jaipur,2025-03-17,riya.malhotra61@mailbox.com
CUST-0062,Arjun Nair,Pune,2025-12-24,arjun.nair62@mailbox.com
CUST-0063,Rahul Bose,Jaipur,2025-06-11,rahul.bose63@mailbox.com
CUST-0064,Meera Desai,Jaipur,2025-01-09,meera.desai64@mailbox.com
CUST-0065,Meera Malhotra,Mumbai,2025-05-18,meera.malhotra65@mailbox.com
CUST-0066,Nikhil Nair,Pune,2025-10-06,nikhil.nair66@mailbox.com
CUST-0067,Aditi Chopra,Hyderabad,2025-09-28,aditi.chopra67@mailbox.com
CUST-0068,Priya Gupta,Delhi,2026-03-10,priya.gupta68@mailbox.com
CUST-0069,Aarav Mehta,Hyderabad,2025-05-14,aarav.mehta69@mailbox.com
CUST-0070,Sneha Menon,Mumbai,2026-03-14,sneha.menon70@mailbox.com
CUST-0071,Rohan Nair,Chandigarh,2025-02-06,rohan.nair71@mailbox.com
CUST-0072,Nikhil Nair,Hyderabad,2026-03-17,nikhil.nair72@mailbox.com
CUST-0073,Rahul Verma,Pune,2026-01-02,rahul.verma73@mailbox.com
CUST-0074,Ananya Rao,Bengaluru,2026-02-21,ananya.rao74@mailbox.com
CUST-0075,Isha Iyer,Delhi,2025-07-01,isha.iyer75@mailbox.com
CUST-0076,Sneha Mehta,Pune,2026-02-26,sneha.mehta76@mailbox.com
CUST-0077,Arjun Iyer,Delhi,2025-04-21,arjun.iyer77@mailbox.com
CUST-0078,Varun Reddy,Ahmedabad,2025-07-24,varun.reddy78@mailbox.com
CUST-0079,Rahul Bose,Pune,2025-08-22,rahul.bose79@mailbox.com
CUST-0080,Neha Mehta,Hyderabad,2025-10-13,neha.mehta80@mailbox.com
CUST-0081,Rahul Agarwal,Jaipur,2026-02-14,rahul.agarwal81@mailbox.com
CUST-0082,Aditi Sharma,Hyderabad,2025-04-29,aditi.sharma82@mailbox.com
CUST-0083,Sneha Kulkarni,Chandigarh,2025-09-29,
CUST-0084,Siddharth Rao,Jaipur,2025-11-18,siddharth.rao84@mailbox.com
CUST-0085,Ananya Joshi,Kolkata,2025-07-14,ananya.joshi85@mailbox.com
CUST-0086,Aarav Agarwal,Mumbai,2025-07-21,aarav.agarwal86@mailbox.com
CUST-0087,Aditi Desai,Mumbai,2025-11-18,aditi.desai87@mailbox.com
CUST-0088,Meera Agarwal,Chennai,2025-11-13,meera.agarwal88@mailbox.com
CUST-0089,Neha Bose,Kolkata,2025-05-11,neha.bose89@mailbox.com
CUST-0090,Sneha Desai,Delhi,2025-11-05,sneha.desai90@mailbox.com
CUST-0091,Meera Bose,Chandigarh,2025-08-04,meera.bose91@mailbox.com
CUST-0092,Amit Mehta,Pune,2026-04-22,amit.mehta92@mailbox.com
CUST-0093,Divya Pillai,Hyderabad,2025-06-23,divya.pillai93@mailbox.com
CUST-0094,Divya Desai,Pune,2025-12-10,divya.desai94@mailbox.com
CUST-0095,Meera Reddy,Delhi,2025-07-23,meera.reddy95@mailbox.com
CUST-0096,Isha Pillai,Chandigarh,2025-03-16,isha.pillai96@mailbox.com
CUST-0097,Karan Joshi,Bengaluru,2026-05-22,karan.joshi97@mailbox.com
CUST-0098,Aarav Malhotra,Jaipur,2026-03-12,aarav.malhotra98@mailbox.com
CUST-0099,Pooja Verma,Mumbai,2025-09-13,pooja.verma99@mailbox.com
CUST-0100,Pooja Nair,Jaipur,2026-04-21,pooja.nair100@mailbox.com
CUST-0101,Amit Mehta,Jaipur,2026-03-30,amit.mehta101@mailbox.com
